C1,C2
0.397982766,0.602017234
0.480475713,0.519524287
0.41417232,0.58582768
0.513945883,0.486054117
0.441414126,0.558585874
0.461825138,0.538174862
0.374238532,0.625761468
0.351374097,0.648625903
0.349712722,0.650287278
0.364398972,0.635601028
0.504601655,0.495398345
0.536694637,0.463305363
0.52645656,0.47354344
0.518366916,0.481633084
0.527130338,0.472869662
0.555994575,0.444005425
0.416899709,0.583100291
0.380108334,0.619891666
0.582195019,0.417804981
0.608318989,0.391681011
0.584134988,0.415865012
0.657148139,0.342851861
0.656616486,0.343383514
0.632903773,0.367096227
0.642812963,0.357187037
0.65694002,0.34305998
0.648970208,0.351029792
0.622754232,0.377245768
0.598975821,0.401024179
0.5991885,0.4008115
0.625691597,0.374308403
0.593719691,0.406280309
0.581904323,0.418095677
0.584962427,0.415037573
0.65876021,0.34123979
0.653981404,0.346018596
0.64254553,0.35745447
0.630126443,0.369873557
0.686501502,0.313498498
0.571752272,0.428247728
0.596339488,0.403660512
0.653386014,0.346613986
0.614929674,0.385070326
0.569619141,0.430380859
0.626642071,0.373357929
0.612497553,0.387502447
0.699866806,0.300133194
0.615139461,0.384860539
0.594864787,0.405135213
0.668449761,0.331550239
0.623510858,0.376489142
0.704199597,0.295800403
0.612305758,0.387694242
0.592246094,0.407753906
0.63819823,0.36180177
0.630781363,0.369218637
0.657509299,0.342490701
0.538839176,0.461160824
0.607837278,0.392162722
0.583731628,0.416268372
0.710971771,0.289028229
0.694807095,0.305192905
0.643990504,0.356009496
0.691430862,0.308569138
0.6524315,0.3475685
0.687164811,0.312835189
0.707909331,0.292090669
0.653101012,0.346898988
0.698894279,0.301105721
0.68649294,0.31350706
0.704122127,0.295877873
0.706173124,0.293826876
0.673900101,0.326099899
0.635357246,0.364642754
0.654440278,0.345559722
0.656064731,0.343935269
0.66009715,0.33990285
0.622841086,0.377158914
0.630490371,0.369509629
0.566267582,0.433732418
0.578886952,0.421113048
0.600508865,0.399491135
0.609827144,0.390172856
0.613283745,0.386716255
0.588447978,0.411552022
0.677937953,0.322062047
0.704864836,0.295135164
0.681849766,0.318150234
0.667202902,0.332797098
0.368480421,0.631519579
0.374825733,0.625174267
0.348417254,0.651582746
0.322730874,0.677269126
0.350272838,0.649727162
0.360963239,0.639036761
0.337274322,0.662725678
0.387737969,0.612262031
0.369206997,0.630793003
0.366935685,0.633064315
0.368894475,0.631105525
0.352898822,0.647101178
0.524931872,0.475068128
0.543458883,0.456541117
0.553389414,0.446610586
0.521446276,0.478553724
0.537376197,0.462623803
0.579804596,0.420195404
0.55133684,0.44866316
0.472172191,0.527827809
0.550941496,0.449058504
0.5359431,0.4640569
0.545547566,0.454452434
0.471269995,0.528730005
0.49950989,0.50049011
0.62063523,0.37936477
0.319380183,0.680619817
0.337882313,0.662117687
0.468919679,0.531080321
0.356504732,0.643495268
0.30756863,0.69243137
0.444822805,0.555177195
0.327268968,0.672731032
0.33178295,0.66821705
0.326271133,0.673728867
0.309481288,0.690518712
0.298483014,0.701516986
0.418679085,0.581320915
0.460363501,0.539636499
0.443403701,0.556596299
0.341604608,0.658395392
0.329877927,0.670122073
0.623530142,0.376469858
0.614962478,0.385037522
0.61565928,0.38434072
0.642315976,0.357684024
0.696420518,0.303579482
0.606469458,0.393530542
0.612617969,0.387382031
0.627210621,0.372789379
0.605543765,0.394456235
0.611868851,0.388131149
0.608444105,0.391555895
0.606587874,0.393412126
0.609307419,0.390692581
0.597295063,0.402704937
0.626484633,0.373515367
0.618117224,0.381882776
0.623059034,0.376940966
0.647044696,0.352955304
0.632998493,0.367001507
0.630908712,0.369091288
0.623133722,0.376866278
0.624474278,0.375525722
0.469564143,0.530435857
0.492153228,0.507846772
0.563202396,0.436797604
0.578153406,0.421846594
0.580001126,0.419998874
0.649519708,0.350480292
0.62480518,0.37519482
0.642156131,0.357843869
0.626752464,0.373247536
0.660039431,0.339960569
0.620149284,0.379850716
0.60890888,0.39109112
0.641458134,0.358541866
0.530204987,0.469795013
0.531669543,0.468330457
0.565016426,0.434983574
0.554356778,0.445643222
0.562978865,0.437021135
0.563536986,0.436463014
0.565927372,0.434072628
0.532096252,0.467903748
0.558540473,0.441459527
0.552390656,0.447609344
0.530204987,0.469795013
0.56708044,0.43291956
0.554476227,0.445523773
0.594200942,0.405799058
0.594791665,0.405208336
0.629056872,0.370943128
0.662340007,0.337659993
0.389065659,0.610934341
0.397726474,0.602273526
0.382542048,0.617457952
0.395352276,0.604647724
0.353541549,0.646458451
0.364317599,0.635682401
0.350819722,0.649180278
0.347266014,0.652733986
0.430970784,0.569029216
0.448860047,0.551139953
0.38828466,0.61171534
0.390708629,0.609291371
0.423596678,0.576403322
0.326070364,0.673929636
0.357570627,0.642429373
0.447441852,0.552558148
0.313492865,0.686507135
0.32258104,0.67741896
0.451684715,0.548315285
0.471804507,0.528195493
0.326744072,0.673255928
0.699899992,0.300100008
0.687045485,0.312954515
0.471104357,0.528895643
0.586706677,0.413293323
0.60778379,0.39221621
0.650644744,0.349355256
0.647472534,0.352527466
0.666057068,0.333942932
0.638516986,0.361483014
0.678190006,0.321809994
0.669410269,0.330589731
0.682456487,0.317543513
0.671865581,0.328134419
0.704246073,0.295753927
0.687530982,0.312469018
0.7009455,0.2990545
0.685678093,0.314321907
0.686800736,0.313199264
0.676773641,0.323226359
0.688639011,0.311360989
0.668917519,0.331082481
0.649426872,0.350573128
0.633005024,0.366994976
0.660150501,0.339849499
0.648545644,0.351454356
0.671659123,0.328340877
0.629931517,0.370068483
0.625438884,0.374561116
0.611274172,0.388725828
0.617882434,0.382117566
0.687282667,0.312717333
0.68405365,0.31594635
0.70446268,0.29553732
0.687350096,0.312649904
0.696048611,0.303951389
0.694872536,0.305127464
0.626898597,0.373101403
0.703109597,0.296890403
0.359653103,0.640346897
0.364624522,0.635375478
0.323692671,0.676307329
0.403520247,0.596479753
0.365975961,0.634024039
0.374563482,0.625436518
0.365356355,0.634643645
0.314414886,0.685585114
0.336644569,0.663355431
0.337789093,0.662210907
0.372821939,0.627178061
0.348769463,0.651230537
0.356261128,0.643738872
0.372460246,0.627539754
0.355946998,0.644053002
0.355520103,0.644479897
0.374650368,0.625349632
0.357398543,0.642601457
0.357398543,0.642601457
0.366159372,0.633840628
0.372460246,0.627539754
0.360060606,0.639939394
0.352964786,0.647035214
0.473962533,0.526037467
0.369531379,0.630468621
0.371017828,0.628982172
0.36145211,0.63854789
0.336106933,0.663893067
0.351777646,0.648222354
0.36027134,0.63972866
0.344963838,0.655036162
0.346047663,0.653952337
0.364363325,0.635636675
0.364363325,0.635636675
0.367571508,0.632428492
0.364494034,0.635505966
0.370972751,0.629027249
0.383674235,0.616325765
0.358040994,0.641959006
0.374135532,0.625864468
0.391755969,0.608244031
0.366874771,0.633125229
0.374174264,0.625825736
0.358627801,0.641372199
0.428024236,0.571975764
0.473314912,0.526685088
0.34206645,0.65793355
0.369745854,0.630254146
0.372850151,0.627149849
0.347432238,0.652567762
0.370877364,0.629122636
0.557500332,0.442499668
0.575205916,0.424794084
0.561097601,0.438902399
0.573623528,0.426376472
0.577998692,0.422001308
0.57282211,0.42717789
0.516182089,0.483817911
0.534549685,0.465450315
0.546081368,0.453918632
0.506598533,0.493401467
0.481856918,0.518143082
0.51412714,0.48587286
0.569976252,0.430023748
0.449946274,0.550053726
0.46531414,0.53468586
0.390095646,0.609904354
0.494707573,0.505292427
0.462649982,0.537350018
0.421066564,0.578933436
0.475247103,0.524752897
0.411054011,0.588945989
0.628219097,0.371780903
0.644676958,0.355323042
0.626990314,0.373009686
0.628375217,0.371624783
0.640012903,0.359987097
0.605228448,0.394771552
0.616950019,0.383049981
0.617593338,0.382406662
0.597286596,0.402713404
0.629810123,0.370189877
0.697148375,0.302851625
0.679878075,0.320121925
0.632301097,0.367698903
0.676212461,0.323787539
0.718531057,0.281468943
0.675972006,0.324027994
0.666982856,0.333017144
0.703934685,0.296065315
0.658786415,0.341213585
0.666780796,0.333219204
0.688682153,0.311317847
0.711810886,0.288189114
0.689272785,0.310727215
0.691702834,0.308297166
0.699050329,0.300949671
0.687355469,0.312644531
0.646296525,0.353703475
0.678138026,0.321861974
0.660218757,0.339781243
0.67390998,0.32609002
0.660163883,0.339836117
0.662686564,0.337313436
0.700319896,0.299680104
0.685772609,0.314227391
0.620142434,0.379857566
0.655312224,0.344687776
0.64044565,0.35955435
0.61456037,0.38543963
0.488225219,0.511774781
0.513700697,0.486299303
0.50590448,0.49409552
0.446933979,0.553066021
0.468142648,0.531857352
0.506371278,0.493628722
0.476482478,0.523517522
0.481504463,0.518495537
0.477143658,0.522856342
0.485721363,0.514278637
0.455063255,0.544936745
0.456092425,0.543907575
0.469212722,0.530787278
0.480943281,0.519056719
0.459899509,0.540100491
0.401777585,0.598222415
0.503899351,0.496100649
0.516901532,0.483098468
0.484976903,0.515023097
0.474524578,0.525475422
0.480539723,0.519460277
0.509252983,0.490747017
0.463407095,0.536592905
0.465119273,0.534880727
0.491024842,0.508975158
0.480880311,0.519119689
0.491097172,0.508902828
0.492856134,0.507143866
0.506610144,0.493389856
0.513515602,0.486484398
0.519820805,0.480179195
0.507528491,0.492471509
0.468192129,0.531807871
0.435255515,0.564744485
0.506253946,0.493746054
0.510477606,0.489522394
0.49847567,0.50152433
0.523051694,0.476948306
0.438881466,0.561118534
0.50819234,0.49180766
0.513972525,0.486027475
0.501247924,0.498752076
0.50159742,0.49840258
0.507806311,0.492193689
0.52250806,0.47749194
0.523747663,0.476252337
0.481962688,0.518037312
0.498082015,0.501917985
0.524430043,0.475569957
0.475267865,0.524732135
0.491967199,0.508032801
0.483799955,0.516200045
0.492828696,0.507171304
0.475910569,0.524089431
0.488029529,0.511970471
0.479038957,0.520961043
0.451285982,0.548714018
0.499595454,0.500404546
0.484429008,0.515570992
0.45305641,0.54694359
0.491771753,0.508228247
0.444659296,0.555340704
0.480992898,0.519007102
0.476010723,0.523989277
0.505181436,0.494818564
0.464948258,0.535051742
0.5199999,0.4800001
0.465319335,0.534680665
0.490974249,0.509025751
0.512538863,0.487461137
0.489182227,0.510817773
0.501235429,0.498764571
0.515845938,0.484154062
0.443183669,0.556816331
0.443032712,0.556967288
0.434227115,0.565772885
0.523839037,0.476160963
0.510801563,0.489198437
0.418625737,0.581374263
0.518091647,0.481908353
0.50805699,0.49194301
0.332281802,0.667718198
